lemma	top	first_tag
ambassador	G	G1.1/S2mf
amber	Z	Z1f
amberley	Z	Z2
ambler	Z	Z1
ambleside	Z	Z2
amboseli	Z	Z2
ambrose	Z	Z1m
ambulatory	M	M1
amcom	Z	Z3c
ameco	Z	Z3c
amelia	Z	Z1f
america	Z	Z2
american	Z	Z2/S2mf
american-style	Z	Z2/A4.1
americanism	Z	Z2
americanisms	Z	Z2
americanization	Z	Z2/A6.1
americanize	Z	Z2/A6.1
americano	F	F2
americanos	F	F2
americans	Z	Z2/S2mf
americas	Z	Z2
amerindian	Z	Z2/S2mf
amerindians	Z	Z2/S2mf
amersham	Z	Z2
amey	Z	Z3
amhara	Z	Z2/S2mf
amicable	Z	Z3c
amicables	Z	Z3c
amiga	Z	Z3c
amin	Z	Z1m
amlarose	Z	Z3
ammal	Z	Z3
ammonite	T	T1.1.1/S5
amnesty	Z	Z3c
amos	Z	Z1m
ampang	Z	Z2
ampstead	Z	Z2
amstead	Z	Z2
amsteel	Z	Z3c
amsteel-owner	Z	Z3c/A9
amsterdam	Z	Z2
amstrad	Z	Z3c
amundsen	Z	Z1
amway	Z	Z3c
amy	Z	Z1f
anadin	Z	Z3
anaesthese	Z	Z2
anaesthetists	B	B3/S2mf
ananda	Z	Z1m
anasey	Z	Z2
anatolian	Z	Z2
anatomical	B	B1
andalusia	Z	Z2
andersen	Z	Z1
anderson	Z	Z1mf
andes	Z	Z2
anding	Z	Z2
andorra	Z	Z2
andorran	Z	Z2/S2mf
andorrans	Z	Z2/S2mf
andover	Z	Z2
andre	Z	Z1m
andrea	Z	Z1f
andreotti	Z	Z1mf
andrew	Z	Z1m
anette	Z	Z1f
anfield	Z	Z2
angel	Z	Z2
angelnet	Z	Z3c/Y2
angela	Z	Z1f
angeles	Z	Z2
angelica	Z	Z1f
angelo	Z	Z1m
angie	Z	Z1f
angiers	Z	Z2
angio	Z	Z1m
anglesey	Z	Z2
anglican	S	S9
anglicanism	S	S9
anglicism	Q	Q3
anglo	Z	Z2
anglo-afro-caribbean	Z	Z2
anglo-catholic	S	S9
anglo-dutch	Z	Z2
anglo-french	Z	Z2
anglo-indian	Z	Z2
anglo-saxon	Q	Q3
anglophone	Q	Q3/Z2/S3mf
angola	Z	Z2
angolan	Z	Z2
angolans	Z	Z2/S2mf
anguilla	Z	Z2
angulin	Z	Z2
angus	Z	Z1m
anhwei	Z	Z2
ania	Z	Z1f
animism	S	S9
anis	Z	Z1m
anita	Z	Z1f
ankara	Z	Z2
anna	Z	Z1f
annabel	Z	Z1f
annapurna	Z	Z2
anne	Z	Z1f
annerdimes	Z	Z3c
annette	Z	Z1f
annie	Z	Z1f
annunciation	S	S9
ansai	Z	Z1
anseal	Z	Z3
ansell	Z	Z1mf
anston	Z	Z2
answorth	Z	Z2
antal	Z	Z3c
antara	Z	Z3c
antarctic	M	M7
antarctica	Z	Z2
ante	Z	Z5
anteater	L	L2
anthony	Z	Z1m
anthropology	S	S1.1.1
anti-war	G	G3/E2
antichrist	S	S9
antichrists	Z	Z1m/E2
antigua	Z	Z2
antiguans	Z	Z2/S2mf
antiharlesan	Y	Y2/O4.3
antilles	Z	Z2
antioch	Z	Z2
antipodes	Z	Z2
anton	Z	Z1m
antonella	Z	Z1f
antonia	Z	Z1f
antonio	Z	Z1m
antony	Z	Z1m
antram	Z	Z2
antrim	Z	Z2
antwerp	Z	Z2
antwerpen	Z	Z2
anyaoku	Z	Z1mf
anzac	G	G3
aokam	Z	Z3c
aorta	B	B1
aoun	Z	Z1mf
apache	Z	Z2/S2mf
aparoma	B	B2
aparscorosis	B	B2
apax	Z	Z3c
apennines	Z	Z2
aphrodite	S	S9/Z1f
apiit	Z	Z3c/P1
apocalypse	S	S9/Q4.1
apollo	Z	Z3m
appenzell	Z	Z3/F1
apple	Z	Z3c
apple1	Z	Z3/Y2
apple2	Z	Z3/Y2
appleby	Z	Z2
apr.	T	T1.3
april	T	T1.3
apsley	Z	Z3c
aqua	Z	Z3c
aquadry	B	B5/Z3c
aquarian	S	S9
aquarians	S	S9/S2mf
aquarius	S	S9
aquascutum	Z	Z3c
aquinas	Z	Z1
aquitaine	Z	Z2
arab	Z	Z2
arab-malaysia	Z	Z2
arab-malaysian	Z	Z2
arabia	Z	Z2
arabian	Z	Z2/S2mf
arabic	Z	Z2/Q3
arabica	F	F2/L2
arabs	Z	Z2/S2mf
aragon	Z	Z1m
arakanese	Z	Z2/S2mf
aran	Z	Z2
arancha	Z	Z1f
arbo	Z	Z3c
arboo	Z	Z3c
arborio	F	F1
arbos	Z	Z3c
arbroath	Z	Z2
arcadia	Z	Z3c
arcadian	Z	Z3c
archbishop	S	S9/S2mf
archbishopric	S	S9
archbishops	S	S9/S2mf
archeli	Z	Z3c
archer	K	K5.1/S2mf
archers	Z	Z3c
archery	Z	Z3
archetype	A	A4.1
archibald	Z	Z1m
archie	Z	Z1m
archimandrite	S	S9/S2m
arctic	Z	Z2
arctrex	Z	Z3c
arden	Z	Z2
ardennes	Z	Z2
ardmell	Z	Z3c
ardrishaig	Z	Z2
ardwick	Z	Z2
argan	Z	Z3
argentina	Z	Z2
argentine	Z	Z2/S2mf
argentinean	Z	Z2/S2mf
argentineans	Z	Z2/S2mf
argentines	Z	Z2/S2mf
argentinian	Z	Z2/S2mf
argentinians	Z	Z2/S2mf
argh	Z	Z4
argo	Z	Z3c
argos	Z	Z3c
argyle	Z	Z2
argyll	Z	Z2
arian	S	S5
ariel	Z	Z1mf
aries	S	S9
aristotle	Z	Z1m
arizona	Z	Z2
ark	Z	Z3c
arlacino	Z	Z1m/K4
arlecchino	Z	Z1m/K4
arles	F	F1
arlington	Z	Z2
armada	G	G3/M4
armageddon	A	A1.1.2
armagnac	F	F2
armani	Z	Z1m
armenia	Z	Z2
armenian	Z	Z2/S2mf
armenians	Z	Z2/S2mf
armitage	Z	Z1mf
armstrong	Z	Z1mf
arndale	Z	Z2
arndales	Z	Z3c
arnley	Z	Z2
arnold	Z	Z1mf
aroma	X	X3.1
aromatherapy	B	B3
arr	Z	Z2
arrad	Z	Z3
arran	Z	Z2
arremanche	Z	Z2
arrundel	Z	Z2
arrundell	Z	Z2
