lemma	top	first_tag
falter	A	A7
fame	X	X2.2
famed	X	X2.2
familiar	S	S9
familiarise	X	X2.2
familiarity	X	X2.2
familiarize	X	X2.2
familiarly	A	A6.2
familiary	S	S4
families	S	S4
family	S	S4c
family-friendly	S	S4c/S8
family-oriented	S	S4c
family-owned	S	S4/A9
family-run	A	A1.1.1/S4c
famine	F	F1
famines	F	F1
famished	F	F1/B1
famous	X	X2.2
famously	X	X2.2
fan	A	A1.1.1
fanatic	X	X5.2
fanatical	X	X5.2
fanaticism	X	X5.2
fancied	E	E2
fancies	E	E2
fanciful	A	A7
fanciness	O	O4.2
fancy	E	E2
fancying	E	E2
fanfare	K	K2
fang	B	B1
fans	S	S2/E2+mf
fantasising	A	A5.2
fantastic	A	A5.1
fantastical	A	A6.2
fantastically	A	A13.3
fantasy	A	A5.2
fanzine	Q	Q4.2
fanziney	Q	Q4.2
far	A	A13.3
far-fetched	A	A5.2
far-flung	N	N3.3
far-reaching	N	N5
far-right	G	G1.2
far-sightedness	B	B2-/X3.4
far-thinking	X	X2.2
farce	K	K4
farcical	E	E4.1
fare	X	X9.2
farewell	Q	Q2.2
farm	F	F4/M7
farmer	F	F4/S2mf
farmers	F	F4/S2mf
farmhouse	F	F4/H1
farming	F	F4
farmland	F	F4
farms	F	F4
fart	B	B1
farted	B	B1
farther	N	N3.3
farthest	N	N3.3
fascinate	X	X5.2
fascinated	X	X5.2
fascinates	X	X5.2
fascinating	X	X5.2
fascination	X	X5.2
fascism	G	G1.2
fascist	G	G1.2/S2mf
fashion	A	A1.1.1
fashion-conscious	B	B5/X5.2
fashion-designer	B	B5/S2mf
fashion-oriented	B	B5/X5.2
fashionability	O	O4.2
fashionable	O	O4.2
fashionably	O	O4.2
fashioned	O	O4.1
fashioner	A	A1.1.1/S2mf
fashioners	A	A1.1.1/S2mf
fashions	B	B5
fast	F	F1
fast-changing	N	N3.8+/A2.1
fast-flowing	N	N3.8
fast-following	M	M1/N3.8
fast-food	F	F1
fast-growing	N	N3.2+/A2.1/N3.8
fast-moving	N	N3.8
fast-paced	N	N3.8
fast-trackers	P	P1/N3.8+/S2mf
fasten	A	A1.7
fastener	A	A1.7+/O2
fastening	O	O2/A1.7
faster	N	N3.8
fastest	N	N3.8
fastest-growing	N	N3.2+/A2.1/N3.8
fastidious	A	A4.2
fastly	N	N3.8
fat	N	N3.2
fat-cat	I	I1.1
fatal	A	A5.1
fatalism	S	S7.1-/E1
fatalist	S	S7.1-/E1/S2mf
fatalistic	S	S7.1-/E1
fatalities	L	L1
fatality	L	L1
fatally	A	A5.1
fate	S	S9
fated	A	A7+++/S7.1
fateful	A	A11.1
father	S	S4/B1
father-in-law	S	S4m
fatherhood	S	S4
fatherland	M	M7
fatherless	S	S4
fathom	X	X2.5
fathoming	X	X2.5
fatigue	B	B2
fatigued	B	B2
fatism	N	N3.2
fatten	N	N3.2+/A2.1
fattening	N	N3.2+/A2.1
fattier	O	O1
fatty	O	O1
faucet	O	O2
faucets	O	O2
fault	E	E2
faulty	A	A1.1.2
fauna	L	L2
favor	S	S8
favorable	A	A5.1
favorably	A	A5.1
favorite	E	E2
favoritism	E	E2
favour	S	S8
favourable	A	A5.1
favourably	A	A5.1
favoured	E	E2
favouring	E	E2
favourite	E	E2
favouritism	E	E2
favours	E	E2
fawn	S	S1.1.1
fawning	Q	Q2.2/E2
fax	Q	Q1.3
fear	E	E5
feared	E	E5
fearful	E	E5
fearfullest	A	A5.1
fearfully	A	A13.3
fearless	E	E5
fearlessly	E	E5
fears	E	E5
fearsome	E	E5
feasibility	A	A7
feasible	A	A7
feasibly	A	A7
feast	F	F1
feat	A	A1.1.1
feather	L	L2
featherbedded	O	O4.2
feathered	O	O4.1
feathering	A	A1.1.1
feature	O	O4.1
featured	A	A10
featureless	O	O4.1
fed	F	F1
fed-up	X	X5.2
fed-upness	X	X5.2
federal	S	S5
federalism	G	G1.1
federalist	G	G1.2
federally	G	G1.1
federated	S	S5
fedup	X	X5.2
fee	I	I1.3
feebly	S	S1.2.5
feed	F	F1
feed-back	X	X2.4/A5
feedback	X	X2.4/A5
feeder	F	F1/O2
feeding	F	F1
feel	E	E1
feeling	X	X2.1
feet	B	B1
feign	A	A5.4
feigned	A	A5.4
feint	O	O4.1
feisty	X	X5.2++/E3
feline	L	L2
fell	M	M1
fella	S	S2.2m
fellah	S	S2.2m
feller	S	S2.2m
felling	A	A1.1.1
fellow	S	S5
fellow-scot	Z	Z2/S2mf
fellowship	S	S5+c
felon	G	G2.1-/S2mf
felonies	G	G2.1
felony	G	G2.1
felpsy	Z	Z3c
felt	O	O1.1
felted	O	O1.1
fem	S	S2.1
female	S	S2.1f
female-dominated	S	S2.1/S7.1
femba	Z	Z3c
feminine	S	S2.1
femininity	S	S2.1
feminised	S	S2.1
feminism	S	S2.1/G1.2
feminist	S	S2.1f/G1.2
feminists	S	S2.1/G1.2f
femme	S	S2.1f
femur	B	B1
fen	W	W3
fence	H	H2
fencing	O	O2
fend	A	A1.1.1
fenestration	G	G2.1
feng	S	S9
fennel	F	F1
fennels	F	F1
feral	L	L1
ferment	E	E3
ferns	L	L3
ferocious	E	E3
ferociously	E	E3
ferocity	E	E3
ferrets	L	L2
ferric	O	O1.1
ferrous	O	O1.1
ferry	M	M4fn
ferryboat	M	M4fn
fertile	O	O4.1
fertilisation	B	B1/S3.2
fertilise	B	B1
fertilised	B	B1
fertiliser	F	F4/O1
fertility	B	B1/S4
fertilization	B	B1/S3.2
fertilize	F	F4
fertilized	F	F4
fertilizer	F	F4/O1
fertilizers	F	F4/O1
fervent	X	X5.2
fervour	X	X5.2
fervours	X	X5.2
festival	K	K1/S1.1.3
festive	E	E4.1
festivities	K	K1
festivity	K	K1
festoon	M	M2
feta	F	F1
fetal	B	B1
fetch	M	M2
fetched	M	M2
fetching	O	O4.2
fete	S	S1.1.3
fetes	K	K1
fetish	E	E2
fettle	X	X9.1
fettuccine	F	F1
fetus	B	B1/S2
fetuses	B	B1/S2
feud	E	E3
feudal	G	G1.2
feudalism	G	G1.2
fever	B	B2
feverish	B	B2
feverishly	B	B2
few	N	N5
fewer	N	N5
fewest	N	N5
fewish	N	N5
fiance	S	S4/S2.2m
fiancee	S	S4/S2.1f
fiasco	X	X9.2
fib	A	A5.2
fibers	O	O1.1
fibia	B	B1
fibre	O	O1.1
fibre-optic	Y	Y2
fibreglass	O	O1.1
fibromelanoma	B	B2
fibrosis	B	B2
fibrous	O	O1.1
fibs	A	A5.2
fickle	A	A2.1
fickleness	A	A2.1
fiction	A	A5.2
fictional	A	A5.2
fictitious	A	A5.2
fiddle	G	G2.2
fiddlesticks	Z	Z4
fiddling	A	A1.1.1
fiddly	A	A12
fidget	X	X5.1
fiduciary	I	I1.1
field	K	K5.1
fieldman	F	F4/S2.2m
fields	F	F4
fieldwork	X	X2.4
fiend	E	E3-/S2mf
fiendishly	A	A13.3
fierce	E	E3
fiercely	A	A13.3
fiery	O	O4.6
fifth	N	N1
fifth-graders	P	P1/S2mf
fifths	N	N1
fifties	N	N1
fifty-fifty	A	A7
fifty-odd	N	N1
fiftyish	T	T3
fig	F	F1
fig-tree	L	L3
fight	S	S8
fight-or-flight	B	B1/E5
fightback	X	X8
fighter	M	M5/G3fn
fighting	S	S8
figment	N	N5.1
figurative	Q	Q3
figuratively	Q	Q3
figure	N	N5
figure-hugging	B	B5
figured	O	O4.1
figurehead	S	S7.2+/S2mf
figurine	C	C1
file	O	O2/Q1.2
filed	Q	Q1.2
filial	S	S4
filigree	C	C1
filigreed	C	C1
filing	Q	Q1.2
fill	O	O1.1
fill-in	T	T1.3
filled	N	N5.1
filler	O	O1
fillers	O	O1
fillet	F	F1
filling	N	N5.1
fills	N	N5.1
filly	L	L2/T3
film	Q	Q4.3
film-maker	Q	Q4.3/S2mf
film-making	Q	Q4.3
film-star	Q	Q4.3/S2mf
film-stars	Q	Q4.3/S2mf
filming	Q	Q4.3
filmy	O	O4.1
filofax	Q	Q1.2
filter	O	O2
filtered	A	A1.1.1
filtering	A	A1.1.1
filth	O	O4.2
filthy	O	O4.2
filtration	A	A1.1.1
fimba	Z	Z3c
fin	L	L2
final	N	N4
final-year	T	T1.3
finale	K	K4/T2
finalisation	X	X6
finalise	X	X6
finalised	X	X6
finalising	X	X6
finalist	S	S7.3/S2mf
finalists	S	S7.3/S2mf
finality	X	X6
finally	N	N4
finals	K	K5.1
finance	I	I1
finance-related	I	I1
financed	I	I1
financial	I	I1
financial-service	I	I1
financial-services	I	I1
financially	I	I1
financier	I	I1/S2mf
financiers	I	I1/S2mf
financing	I	I1
find	A	A10
finder	A	A10+/S2mf
finding	A	A10
fine	G	G2.1
fine-tune	A	A2.1+/A5.3
fine-tuning	A	A2.1+/A5.3
fined	G	G2.1
finely	A	A5.1
finery	O	O4.2
finesse	O	O4.2
finest	A	A5.1
finest-quality	A	A5.1
finger	X	X3.3
finger-pointing	Q	Q2.2/G2.2
fingered	X	X3.3
fingermark	O	O2
fingermarks	O	O2
fingernail	B	B1
fingerprint	Q	Q1.1/B1
fingerprinting	G	G2.1/B1
fingerprints	Q	Q1.1/B1
fingertip	B	B1
fingertips	B	B1
finicky	E	E6
finish	T	T2
finished	T	T2
finisher	I	I4/S2mf
finishing	T	T2
finite	A	A1.7
finnish	Z	Z2
fir	L	L3
fire	I	I3.1
fire-fighting	O	O4.6
fire-guard	H	H5/A15
fire-resistant	O	O4.6+/A15
firearm	G	G3
firearms	G	G3
firebomb	G	G3
fired	I	I3.1
firefight	O	O4.6
firefighter	O	O4.6+/S2mf
firefighters	O	O4.6+/S2mf
firefighting	O	O4.6
fireman	O	O4.6+/S2.2m
firemen	O	O4.6+/S2.2m
fireplace	H	H5
fireplaces	H	H5
firepower	G	G3
fireside	H	H5
firewood	O	O1.1
firework	G	G3/K1
fireworks	G	G3/K1
firing	I	I3.1
firm	I	I2.1/S5+c
firmament	W	W1
firmly	A	A1.7
firmness	O	O4.5
firms	I	I2.1/S5+c
firs	L	L3
first	N	N4
first-class	A	A5.1
first-ever	N	N4
first-floor	H	H2
first-generation	N	N4/T1.3
first-half	T	T1.3
first-hand	A	A5.4
first-inning	K	K5.1
first-innings	K	K5.1
first-mover	N	N4/S7.3
first-movers	N	N4/S7.3/S2mf
first-name	Q	Q2.2
first-past-the-post	X	X9.2
first-preference	G	G1.2
first-rate	A	A5.1
first-round	T	T2
first-stage	N	N4
first-time	T	T2
first-timers	T	T2+/S2mf
firsthand	A	A5.4
firstly	N	N4
fiscal	G	G2.1/S2mf
fish	L	L2mfnc
fish-and-chip	F	F2
fishcake	F	F1
fisherman	F	F4/M4/S2.2m
fishermen	F	F4/M4/S2.2m
fishery	F	F4/M4
fishfinger	F	F1
fishing	K	K5.1/L2
fishmonger	F	F1/H1
fishnet	O	O2
fishnets	O	O2
fishpond	W	W3/M4
fishy	L	L2
fissure	A	A1.1.2
fist	B	B1
fists	B	B1
fistula	B	B1
fistulas	B	B1
fit	A	A1.2
fitful	A	A6.2
fitment	H	H5
fitments	O	O2
fitness	A	A1.2
fits	B	B2
fitted	A	A1.2
fitter	I	I4/S2mf
fitting	A	A1.2
fitting-out	A	A9
five	N	N1
five-a-day	N	N6
five-a-side	N	N5
five-and-dime	I	I2.2/H1c
five-day	T	T1.3
five-gallon	N	N3.4
five-month	T	T1.3
five-year	T	T1.3
five-year-old	T	T3-/S2mf
fivefold	N	N5
fiver	I	I1
fix	A	A1.7
fixate	X	X5.2
fixated	X	X5.2
fixation	X	X5.2
fixative	O	O1
fixed	A	A1.7
fixed-as-assets	I	I1.1
fixed-cost	I	I1.3
fixed-price	I	I1.3
fixed-term	T	T1.3
fixing	A	A1.7
fixture	O	O2
fixtures	O	O2
fizz	O	O4.5
fizzing	O	O4.5
fizzle	T	T2
fizzy	O	O4.5
fjord	W	W3/M4
fl	N	N3.4
flab	B	B1
flabbergasted	E	E5
flabby	B	B1
flack	Q	Q2.2
flag	Q	Q1.1
flagger	H	H1/S2mf
flagnell	L	L3
flagon	O	O2
flagons	O	O2
flags	Q	Q1.1
flagship	M	M4fn
flagstaff	O	O2/H1
flagstone	H	H1
flagstones	H	H1
flail	O	O2
flair	X	X9.1
flak	Q	Q2.2
flake	O	O2
flaked	O	O4.1
flakes	O	O2
flaky	O	O4.1
flamboyant	S	S1.2.3
flame	O	O4.6
flame-coloured	O	O4.3
flame-grilling	F	F1/O4.6
flames	O	O4.6
flametree.co.uk	Z	Z3c/Y2
flaming	O	O4.6
flamingoes	L	L2mf
flammable	O	O4.6+/A15
flan	F	F1
flank	G	G3
flanked	M	M6
flannel	B	B5
flanneler	Q	Q2.2/S2mf
flannelers	Q	Q2.2/S2mf
flannelling	B	B5
flap	O	O2
flapjack	F	F1
flappy	O	O4.1
flare	G	G3
flare-up	E	E3-/A2.1
flares	G	G3
flarey	O	O4.4
flashback	X	X2.2
flashbacks	X	X2.2
flashing	O	O4.3/N6
flashy	S	S1.2.3
flask	O	O2
flat	O	O4.4
flat-heeled	B	B5
flat-steel	O	O1.1/O4.4
flatlet	H	H1
flatlets	H	H1
flatly	A	A7
flatmate	H	H4/S2mf
flatness	O	O4.4
flats	H	H1/H4
flatten	O	O4.4
flatter	O	O4.4
flatterer	S	S7.2+/Q2.2/S2mf
flattering	O	O4.2
flattery	S	S7.2+/Q2.2
flattest	O	O4.4
flatties	B	B5
flattish	O	O4.4
flatulence	B	B2
flaunt	A	A10
flaunts	A	A10
flavor	X	X3.1
flavored	X	X3.1
flavors	X	X3.1
flavour	X	X3.1
flavoured	X	X3.1
flavouring	O	O1/X3.1
flavourless	X	X3.1
flaw	A	A5.1
flawed	A	A5.1
flawless	A	A5.1
flax	L	L3
flay	A	A1.1.1
flayed	A	A1.1.1
flea	L	L2mfn
fleabitten	O	O4.2
fleck	O	O2
fled	M	M1
fledge	T	T3+/A2.1
fledgeling	T	T3
fledgling	T	T3
flee	M	M1
fleece	B	B5/O1.1
fleecy	O	O4.5
fleeing	M	M1
fleeting	T	T1.3
flesh	B	B1
flesh-and-blood	S	S4
flesh-fly	L	L2
fleshy	O	O4.2
flew	M	M5
flex	M	M2/B1
flexi	A	A6.3
flexi-leave	T	T1.3/K1
flexi-time	T	T1.3/A6.3
flexibility	O	O4.5
flexible	O	O4.5
flexibly	O	O4.5
flexigrip	O	O2
flexing	M	M2/B1
flexitime	T	T1.3/I3.1
flick	A	A1.1.1
flicked	A	A1.1.1
flicker	M	M1
flickering	O	O4.3
flicking	A	A1.1.1
flier	Q	Q1.2
flight	M	M5
flimsy	O	O4.1
flinch	E	E5
flinched	E	E5
flinching	E	E5
fling	M	M2
flinging	M	M2
flip	A	A1.1.1
flip-flop	B	B5
flip-flops	B	B5
flip-side	A	A5.1
flipchart	Q	Q1.2
flippant	S	S1.2.4
flipper	M	M4/B5
flippers	M	M4/B5
flipping	A	A1.1.1
flirt	S	S3.2
flirtation	S	S3.2
flirtations	S	S3.2
flirtatious	S	S3.2
flirting	S	S3.2
flit	M	M1/N3.8
float	M	M1
floated	M	M1
floating	M	M1
floats	M	M1
floaty	B	B2
flock	L	L2/S5+c
floe	W	W3/M4
flog	I	I2.2
flogged	I	I2.2
flogging	I	I2.2
flong	O	O2
flood	W	W4
flood-gates	A	A1.7+/O1.2
flood-proofing	A	A1.1.1/W4
floodgate	H	H2/O1.2
floodgates	H	H2/O1.2
flooding	W	W4
floodlight	O	O3/W2
floodlights	O	O3/W2
floodlit	O	O3/W2
floor	H	H2
floor-work	H	H1
floorboard	O	O2
floorboards	H	H2
floored	H	H2
flooring	X	X2.5
floozie	S	S2.1f
flop	M	M1
flopped	M	M1
flopping	M	M1
floppy	O	O4.1
floral	L	L3
florestry	L	L3
florist	L	L3/S2mfn
floristry	L	L3
floss	O	O1
flotation	I	I2.2
flounce	M	M1
flouncing	M	M1
flounder	X	X9.2
flour	F	F1
flourish	M	M1
flourished	X	X9.2
flout	A	A1.9/A11.2
flouting	A	A1.9/A11.2
flow-chart	Q	Q1.2
flowchart	Q	Q1.2
flowcharts	Q	Q1.2
flower	L	L3
flowered	L	L3
flowering	L	L3
flowers	L	L3
flowery	L	L3
flowing	M	M1
flown	M	M5
flowy	O	O4.1
flu	B	B2
fluctuate	A	A2.1
fluctuates	A	A2.1
fluctuating	A	A2.1
fluctuation	A	A2.1
fluctuations	A	A2.1
flue	O	O2
fluency	Q	Q3/X9.1
fluent	X	X9.1
fluently	X	X9.1
fluff	X	X9.2
fluffy	O	O4.5
fluid	O	O1.2
fluidity	M	M1
fluke	A	A1.4
flume	O	O2
flummox	X	X2.5
flummoxed	X	X2.5
flumocksed	X	X2.5
flung	M	M2
flunk	X	X9.2
flunked	X	X9.2
flunt	M	M6
fluorescent	O	O4.3
fluoride	O	O1.1
flurry	W	W4
flush	E	E1/B1
flushed	E	E1/B1
flushing	E	E1/B1
fluster	E	E6
flustered	E	E6
flute	K	K2
fluted	O	O4.4
flutter	M	M1
flux	A	A2.1
fly	A	A10
fly-by-nights	A	A5.1-/I2.1
fly-on-the-wall	A	A5.4+/Q4.3
flyer	Q	Q1.2
flying	M	M5
foal	L	L2mfn
foam	O	O1.2
fob	O	O2
focal	A	A11.1
focally	A	A11.1
focus	X	X5.1
focused	X	X5.1
focuses	X	X5.1
focusing	X	X5.1
focussed	X	X5.1
fodder	F	F1/L2
foe	S	S1.2.1-/S2mfc
foes	S	S1.2.1-/S2mfc
foetus	B	B1
fog	W	W4
fogey	X	X5.2-/S2mf
foggiest	A	A4.2
foggy	W	W4
foible	A	A6.2
foil	O	O1.1
foiled	S	S8
foist	M	M2/X7
foisted	M	M2/X7
fold	O	O4.4
folded	O	O4.1
folder	O	O2/Q1.2
folding	A	A1.1.1
foley	Q	Q4.3
foliage	L	L3
folk	S	S2mf
folk-hero	E	E2+/S2.2m
folklore	Q	Q2.2
folks	S	S2mf
folksy	S	S5
folky	K	K2
follow	M	M1
follow-on	N	N4/K5.1
follow-through	A	A1.1.1
follow-up	N	N4
followable	X	X2.5
followed	M	M1
follower	S	S7.1-/S2mf
followers	S	S7.1-/S2mf
following	N	N4
follows	M	M1
folly	S	S1.2.6
foment	A	A2.2
fomented	A	A2.2
fond	E	E2
fondant	F	F1
fondly	E	E2
fondness	E	E2
fondue	F	F1
font	Q	Q1.2
fontanelle	B	B1
fontanelles	B	B1
fonts	Q	Q1.2
food	F	F1
food-grade	F	F2
food-oriented	F	F1
food-price	I	I1.3/F1
food-wise	F	F1
foodie	F	F1/S2mf
foodies	F	F1/S2mf
foods	F	F1
foodstuffs	F	F1
foodwise	F	F1
fool	G	G2.2
foolhardy	A	A1.3
foolish	S	S1.2.6
foolishly	S	S1.2.6
foolishness	S	S1.2.6
foolproof	A	A15
foolscap	Q	Q1.2
foot	I	I1.2
foot-and-mouth	B	B2-/L2
foot-licker	S	S7.2+/N5.2+/S2mf
footage	Q	Q4.3
football	K	K5.2
footballer	K	K5.2/S2mf
footballers	K	K5.2/S2mf
footballing	K	K5.2
footbally	K	K5.2
footer	Q	Q1.2/Y2
footers	Q	Q1.2/Y2
footfall	M	M1/X3.2
footgear	B	B5
foothill	W	W3
foothills	W	W3
foothold	S	S8
footie	K	K5.1
footing	I	I1.2
footloose	A	A1.7
footman	S	S7.1-/S2.2m
footnote	Q	Q1.2
footpath	M	M3
footprint	O	O4.4
footstep	X	X3.2/M1
footsteps	X	X3.2/M1
footstool	H	H5
footstools	H	H5
footwear	B	B5
foppish	S	S1.2.3+/O4.2
for	A	A5.1
fora	M	M7
forage	F	F1/L2
foraging	F	F1/L2
foray	T	T2+/A1.1.1
forbearance	E	E3
forbid	S	S7.4
forbidden	S	S7.4
forbidding	S	S7.4
force	E	E3
force-fed	F	F1/S7.1
forced	S	S7.1
forceful	E	E6
forcefully	E	E6
forceless	S	S1.2.5
forceps	O	O2/B3
forces	G	G3
forcible	E	E6
forcibly	E	E6
forcing	S	S7.1
fore	S	S7.1
forearm	B	B1
forebear	S	S4mfn
foreboding	E	E5
forecast	Q	Q2.2/T1.1.3
forecastable	Q	Q2.2/T1.1.3
forecasting	Q	Q2.2/T1.1.3
foreclose	A	A10-/I1.2
foreclosure	T	T2
forecourt	H	H3
forefather	S	S4m
forefathers	S	S4m
forefoot	B	B1
forefront	A	A11.1
forego	X	X7
foregoing	N	N4
foregone	T	T1.1.1
foreground	A	A11.1
forehand	K	K5.1
forehead	B	B1
foreign	M	M7
foreign-owned	Z	Z2/A9
foreign-sourced	I	I2.2/A9
foreigner	Z	Z2/S2mf
foreigners	Z	Z2/S2mf
forelady	S	S7.1+/S2.1f
foreman	S	S7.1+/I3.1/S2.2m
foremast	O	O2/M4
foremen	S	S7.1+/I3.1/S2.2m
foremost	A	A11.1
forensic	G	G2.1
foreplay	S	S3.2
forerunner	N	N4
forerunners	N	N4
foresee	X	X2.6
foreseeable	X	X2.6
foreshadow	X	X2.6
foreshore	W	W3/M4
foresight	X	X2.6
forestall	T	T2
forests	W	W3/L3
foretell	Q	Q2.2/T1.1.3/S9
foretelling	Q	Q2.2/T1.1.3/S9
foretells	Q	Q2.2/T1.1.3/S9
foretold	Q	Q2.2/T1.1.3/S9
forever	T	T2
forewarn	X	X2.2+/A15
foreword	Q	Q4.1
forfeit	A	A9
forfeited	A	A9
forfeiting	A	A9
forfeiture	A	A9-/G2.1
forfeitures	A	A9-/G2.1
forgave	S	S1.1.1
forge	A	A5.4
forged	A	A5.4
forger	G	G2.1-/S2mf
forgery	A	A5.4
forget	X	X2.2
forgetful	S	S2.1/X2.2
forgetfulness	S	S2.1/X2.2
forgettable	X	X5.2
forgetting	X	X2.2
forgive	G	G2.2
forgiven	G	G2.2
forgiveness	G	G2.2
forgiving	G	G2.2+/S1.2
forgo	A	A1.9
forgone	A	A1.9
forgot	X	X2.2
forgotten	X	X2.2
fork	O	O2
forking	A	A1.1.1
forklift	M	M3fn
forlorn	E	E4.1
form	T	T2
formal	S	S1.2.1
formaldehyde	O	O1
formalise	Q	Q2.2
formalised	Q	Q2.2
formalistic	A	A4.2/N5.2
formality	A	A6.2
formalized	Q	Q2.2
formally	S	S1.2.1
format	Y	Y2
formation	A	A2.1
formative	A	A2.1
formatively	A	A2.1
formatted	Y	Y2
formatting	Y	Y2
formed	S	S7.1
former	O	O2
formerly	T	T1.1.1
formers	O	O2
formidable	E	E5
forms	A	A4.1
formula	Y	Y1
formulaic	A	A6.2
formulate	X	X2.1
formulating	X	X2.1
formulation	G	G1.1/X7
formulative	A	A2.1
forrest-land	W	W3
fors	S	S8
forsake	A	A9
forsook	S	S8
forsythia	L	L3
fort	H	H1
forte	X	X9.1
forth	M	M6
forthcoming	T	T1.1.3
forthright	A	A5.2
forthwith	T	T1.1.2
forties	N	N1
fortification	H	H1/G3
fortified	O	O4.1
fortify	S	S1.2.5+/A2.1
fortifying	S	S1.2.5+/A2.1
fortitude	S	S1.2.5
fortnight	T	T1.3
fortnightly	N	N6
fortress	G	G3/H1c
fortuitous	A	A1.4
fortuitously	A	A1.4
fortunate	A	A1.4
fortunately	A	A1.4
fortune	I	I1.1
fortune-teller	T	T1.1.3/S9/S2mf
forty	N	N1
forty:forty	N	N5
forum	S	S1.1.3+c
forward	M	M6
forward-looking	X	X2.6
forward-thinking	X	X2.6
forwarding	M	M2
forwards	M	M6
fossilise	O	O4.1
fossilised	O	O4.1
foster-care	S	S4
fostered	S	S4
fostering	S	S4
fought	S	S8
foul	K	K5.1/S7.4
foul-mouthed	Q	Q2.2/A5.1
foully	A	A5.1
foulness	O	O4.2
found	A	A10
foundation	T	T2
founded	T	T2
founder	T	T2+/S2mf
founder-director	T	T2+/S7.1+/S2mf
founding	T	T2
foundress	T	T2+/S2.1f
foundry	I	I4/H1c
fount	A	A2.2
fountain	H	H1
fountainhead	W	W3/M4
fountains	H	H1
four	N	N1
four-acre	N	N3.6
four-day	T	T1.3
four-legged	O	O4.1
four-star	A	A5.1
four-step	N	N4
four-storey	H	H1/N3.7
four-wheel-drive	M	M3
four-year	T	T1.3
four-year-old	T	T3
fourcore	O	O3
fourteen	N	N1
fourth	N	N4
fowl	L	L2mfnc
foxholes	G	G3
foyer	H	H2
fr	I	I1
fraction	N	N5
fractionally	A	A13.6
fracture	B	B2
fractured	A	A1.1.2
fractures	B	B2
fracturing	B	B2
fragile	S	S1.2.5-/O4.1
fragilities	S	S1.2.5-/O4.1
fragment	A	A1.1.2
fragmentation	N	N5.1
fragmented	S	S5
fragrance	X	X3.5
fragrant	X	X3.5
fraiche	O	O4.1
frail	S	S1.2.5
frailty	S	S1.2.5
frame	A	A1.1.1
framed	O	O4.1
frameless	O	O4.1
framer	A	A1.1.1/S2mf
frameseal	Z	Z3
framework	X	X4.2
framing	A	A1.8
franchisation	I	I2.2
franchisations	I	I2.2
franchise	I	I2.2
franchised	I	I2.2
franchisee	I	I2.2/S2mf
franchisee-franchiser	I	I2.2
franchisement	I	I2.2
franchiser	I	I2.2/S5
franchiser-audited	I	I2.2
franchiser-provided	I	I2.2/A9
franchising	I	I2.2
franchisor	I	I2.2/S5
francs	I	I1
franking	Q	Q1.2
frankly	A	A5.2
frantic	X	X5.2
frantically	X	X5.2
frasharse	O	O4.2
fraternal	S	S5
fraternity	S	S5+c
fraternize	S	S1.2.1
fraud	G	G2.1
fraudsters	G	G2.1-/S2mf
fraudulent	G	G2.1
fraudulently	G	G2.1
fraught	N	N5.1
fraulein	S	S2.1f
fray	O	O4.5/O4.1
freak	A	A6.2
freakishness	A	A6.2
freaky	A	A6.2
freckle	B	B1
freckles	B	B1
freckly	B	B1
free	S	S6
free-for-all	A	A1.7
free-lance	S	S5
free-market	I	I2.2
free-riding	A	A1.5.1/A9
free-spirited	S	S5
free-standing	A	A1.7
free-style	A	A1.7
free-trade	I	I2.2
freebie	I	I1.3
freebies	I	I1.3
freed	A	A1.7
freedom	A	A1.7
freefone	Q	Q1.3
freeform	A	A1.7
freehold	H	H1
freeholder	H	H1/S2mf
freeing	A	A1.7
freelance	S	S5
freelancer	S	S5-/S2mf
freelancers	S	S5-/S2mf
freelancing	S	S5-/I3.1
freely	N	N5
freemason	S	S9/S2.2m
freephone	Q	Q1.3
freepost	Q	Q1.3
freestanding	O	O4.1
freestyle	A	A1.7
freewheel	M	M2/A1.7
freewheeling	M	M2/A1.7
freeze	O	O4.6
freezer	O	O4.6-/O3
freezing	O	O4.6
freight	M	M2
freighting	M	M2
frenetic	X	X5.2
frenzied	A	A1.1.1/N5
frenzy	A	A1.1.1/N5
frequency	N	N6
frequent	M	M1/N6
frequent-flyer	M	M5/N6
frequently	N	N6
fresco	C	C1
frescos	C	C1
fresh	T	T3
fresh-faced	O	O4.2+/T3
fresh-made	A	A1.1.1/T3
freshen	B	B2
fresher	T	T3
freshly	T	T3
freshman	P	P1/S2mf
freshness	T	T3
freshwater	O	O1.2/W3
fret	O	O4.4
fretful	E	E6
frets	E	E6
fretting	E	E6
friars	S	S9
friary	S	S9/H1c
fricassee	F	F1
friction	M	M1
fridge	O	O4.6-/O3
fried	F	F1
friend	S	S3.1/S2mf
friendliest	S	S1.2.1
friendliness	S	S1.2.1
friendly	S	S1.2.1
friendship	S	S3.1
frigate	M	M4
frigates	M	M4
frigging	Z	Z4
fright	E	E5
frighten	E	E5
frightened	E	E5
frightener	E	E5
frightening	E	E5
frighteningly	E	E5
frightful	O	O4.2
frightfully	A	A13.3
frigid	O	O4.6
frill	B	B5
frilled	O	O4.1
frilly	O	O4.1
fringe	B	B1
frit	M	M1
fritter	F	F1
fritting	M	M1
frivolity	E	E4.1+/S1.2.6
frivolous	S	S1.2.6
frizzy	O	O4.1
fro	M	M6
frock	B	B5
frog	L	L2mfn
frogman	M	M4/I3.2/S2.2m
frogs	L	L2mfn
frolic	E	E4.1
frolics	E	E4.1
from	Z	Z5
